id,euRoadsRelated,asiaRoadsRelated,russRoadsRelated,nameRU,wikipediaUrl,length,roadSurface,regions,nameRU (from Regions),roadType,route
E105,,,"M2,M10,M18",European Route E105,http://ru.wikipedia.org/wiki/Европейский_маршрут_E105,,,"51,10,53,47,78","Мурманская область, Республика Карелия, Новгородская область, Ленинградская область, Санкт-Петербург",европейский маршрут,
E95,,,M20,European Route E95,http://ru.wikipedia.org/wiki/Европейский_маршрут_E95,,,"78,47,60,69,50,77,71,57,46,31","Санкт-Петербург, Ленинградская область, Псковская область, Тверская область, Московская область, Москва, Тульская область, Орловская область, Курская область, Белгородская область",европейский маршрут,
E50,,,"M19,M4,M29",European Route E50,http://ru.wikipedia.org/wiki/Европейский_маршрут_E50,,,"62,26,07,15,06,20,05","Рязанская область, Ставропольский край, Кабардино-Балкарская Республика, Республика Северная Осетия — Алания, Республика Ингушетия, Чеченская республика, Республика Дагестан",европейский маршрут,
E592,,,M4,European Route E592,,,,23,Краснодарский край,европейский маршрут,
E101,,,M3,European Route E101,http://ru.wikipedia.org/wiki/Европейский_маршрут_E101,,,"77,50,40,32","Москва, Московская область, Калужская область, Брянская область",европейский маршрут,
E97,,,M4,European Route E97,http://ru.wikipedia.org/wiki/Европейский_маршрут_E97,,,23,Краснодарский край,европейский маршрут,
E38,,,,European Route E38,http://ru.wikipedia.org/wiki/Европейский_маршрут_E38,,,"46,36,64","Курская область, Воронежская область, Саратовская область",,
AH4,,,,Азиатский маршрут 4,,,,,,азиатский маршрут,
AH6,,,"M1,M5",Азиатский маршрут 6,http://ru.wikipedia.org/wiki/Азиатский_маршрут_AH6,,,"67,50,77,62,13,58,73,63,56,16,02,74,45,55,54,42,24,38,03,75","Смоленская область, Московская область, Москва, Рязанская область, Республика Мордовия, Пензенская область, Ульяновская область, Самарская область, Оренбургская область, Республика Татарстан, Республика Башкортостан, Челябинская область, Курганская область, Омская область, Новосибирская область, Кемеровская область, Красноярский край, Иркутская область, Республика Бурятия, Забайкальский край",азиатский маршрут,
AH7,,,M5,Азиатский маршрут 7,http://ru.wikipedia.org/wiki/Азиатский_маршрут_AH7,,,"66,74","Свердловская область, Челябинская область",азиатский маршрут,
AH8,,,M6,Азиатский маршрут 8,,,,,,азиатский маршрут,
AH30,,,,Азиатский маршрут 30,,,,,,азиатский маршрут,
AH70,,,,Азиатский маршрут 70,,,,,,азиатский маршрут,
